"Id","ActivityDate","TotalSteps","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","ActiveMinutes"
1503960366,"4/15/2016",9762,6.28000020980835,0,2.14000010490417,1.25999999046326,2.82999992370605,29,34,209,726,1745,272
1503960366,"4/17/2016",9705,6.48000001907349,0,3.19000005722046,0.779999971389771,2.50999999046326,38,20,164,539,1728,222
1503960366,"4/21/2016",9819,6.34000015258789,0,1.3400000333786,0.349999994039536,4.65000009536743,19,8,211,838,1775,238
1624580081,"4/12/2016",8163,5.30999994277954,0,0,0,5.30999994277954,0,0,146,1294,1432,146
1624580081,"4/13/2016",7007,4.55000019073486,0,0,0,4.55000019073486,0,0,148,1292,1411,148
1624580081,"4/14/2016",9107,5.92000007629395,0,0,0,5.90999984741211,0,0,236,1204,1572,236
1624580081,"4/15/2016",1510,0.980000019073486,0,0,0,0.970000028610229,0,0,96,1344,1344,96
1624580081,"4/16/2016",5370,3.49000000953674,0,0,0,3.49000000953674,0,0,176,1264,1463,176
1624580081,"4/17/2016",6175,4.05999994277954,0,1.02999997138977,1.51999998092651,1.49000000953674,15,22,127,1276,1554,164
1624580081,"4/19/2016",2916,1.89999997615814,0,0,0,1.89999997615814,0,0,141,1299,1435,141
1624580081,"4/20/2016",4974,3.23000001907349,0,0,0,3.23000001907349,0,0,151,1289,1446,151
1624580081,"4/21/2016",6349,4.13000011444092,0,0,0,4.1100001335144,0,0,186,1254,1467,186
1624580081,"4/22/2016",4026,2.61999988555908,0,0,0,2.59999990463257,0,0,199,1241,1470,199
1624580081,"4/23/2016",8538,5.55000019073486,0,0,0,5.53999996185303,0,0,227,1213,1562,227
1624580081,"4/24/2016",6076,3.95000004768372,0,1.14999997615814,0.910000026226044,1.88999998569489,16,18,185,1221,1617,219
1624580081,"4/25/2016",6497,4.21999979019165,0,0,0,4.19999980926514,0,0,202,1238,1492,202
1624580081,"4/26/2016",2826,1.8400000333786,0,0,0,1.83000004291534,0,0,140,1300,1402,140
1624580081,"4/27/2016",8367,5.44000005722046,0,1.11000001430511,1.87000000476837,2.46000003814697,17,36,154,1233,1670,207
1624580081,"4/28/2016",2759,1.78999996185303,0,0,0.200000002980232,1.60000002384186,0,5,115,1320,1401,120
1624580081,"4/29/2016",2390,1.54999995231628,0,0,0,1.54999995231628,0,0,150,1290,1404,150
1624580081,"4/30/2016",6474,4.30000019073486,0,0.899999976158142,1.27999997138977,2.11999988555908,11,23,224,1182,1655,258
1624580081,"5/2/2016",7155,4.92999982833862,0,0.860000014305115,0.589999973773956,3.47000002861023,7,6,166,1261,1497,179
1624580081,"5/3/2016",2100,1.37000000476837,0,0,0,1.3400000333786,0,0,96,1344,1334,96
1624580081,"5/4/2016",2193,1.42999994754791,0,0,0,1.41999995708466,0,0,118,1322,1368,118
1624580081,"5/5/2016",2470,1.61000001430511,0,0,0,1.58000004291534,0,0,117,1323,1370,117
1624580081,"5/6/2016",1727,1.12000000476837,0,0,0,1.12000000476837,0,0,102,1338,1341,102
1624580081,"5/7/2016",2104,1.37000000476837,0,0,0,1.37000000476837,0,0,182,1258,1474,182
1624580081,"5/8/2016",3427,2.23000001907349,0,0,0,2.22000002861023,0,0,152,1288,1427,152
1624580081,"5/9/2016",1732,1.12999999523163,0,0,0,1.12999999523163,0,0,91,1349,1328,91
1624580081,"5/10/2016",2969,1.92999994754791,0,0,0,1.91999995708466,0,0,139,1301,1393,139
1624580081,"5/11/2016",3134,2.03999996185303,0,0,0,2.03999996185303,0,0,112,1328,1359,112
1624580081,"5/12/2016",2971,1.92999994754791,0,0,0,1.91999995708466,0,0,107,890,1002,107
1644430081,"4/13/2016",8001,5.82000017166138,0,2.27999997138977,0.899999976158142,2.64000010490417,30,16,135,1259,2902,181
1644430081,"4/15/2016",5263,3.82999992370605,0,0.219999998807907,0.150000005960464,3.45000004768372,3,4,170,1263,2750,177
1644430081,"4/17/2016",8757,6.36999988555908,0,2.25,0.569999992847443,3.54999995231628,29,13,186,1212,3011,228
1644430081,"4/18/2016",7132,5.19000005722046,0,1.07000005245209,1.66999995708466,2.45000004768372,15,33,121,1271,2806,169
1644430081,"4/20/2016",2436,1.76999998092651,0,0,0,1.75999999046326,0,0,125,1315,2430,125
1644430081,"4/21/2016",1223,0.889999985694885,0,0,0,0.879999995231628,0,0,38,1402,2140,38
1644430081,"4/22/2016",3673,2.67000007629395,0,0,0,2.66000008583069,0,0,86,1354,2344,86
1644430081,"4/23/2016",6637,4.82999992370605,0,0,0.579999983310699,4.25,0,15,160,1265,2677,175
1644430081,"4/24/2016",3321,2.41000008583069,0,0,0,2.41000008583069,0,0,89,1351,2413,89
1644430081,"4/25/2016",3580,2.59999990463257,0,0.589999973773956,0.0599999986588955,1.95000004768372,8,1,94,1337,2497,103
1644430081,"4/26/2016",9919,7.21000003814697,0,0.800000011920929,1.72000002861023,4.69000005722046,11,41,223,1165,3123,275
1644430081,"4/27/2016",3032,2.20000004768372,0,0,0,2.20000004768372,0,0,118,1322,2489,118
1644430081,"4/28/2016",9405,6.84000015258789,0,0.200000002980232,2.3199999332428,4.30999994277954,3,53,227,1157,3108,283
1644430081,"4/29/2016",3176,2.30999994277954,0,0,0,2.30999994277954,0,0,120,1193,2498,120
1644430081,"5/1/2016",6132,4.46000003814697,0,0.239999994635582,0.990000009536743,3.23000001907349,3,24,146,908,2696,173
1644430081,"5/2/2016",3758,2.73000001907349,0,0.0700000002980232,0.310000002384186,2.34999990463257,1,7,148,682,2580,156
1644430081,"5/4/2016",2309,1.67999994754791,0,0,0,1.6599999666214,0,0,52,1388,2222,52
